Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
95,Yojouhan Shinwa Taikei,484,"Award Winning, Comedy, Mystery, Romance",Madhouse,TV,11,22,Apr-10,Jul-10,"421,380",8.57
96,Ousama Ranking,358,"Adventure, Fantasy",Wit Studio,TV,23,22,Oct-21,Mar-22,"544,568",8.56
97,Fruits Basket 2nd Season,443,"Drama, Romance, Supernatural",TMS Entertainment,TV,25,23,Apr-20,Sep-20,"455,317",8.56
98,Karakai Jouzu no Takagi-san Movie,2796,"Romance, Comedy, Drama",Shin-Ei Animation,Movie,1,73,Jun-22,Jun-22,"51,581",8.56
99,Kenpuu Denki Berserk,328,"Action, Adventure, Drama, Fantasy, Horror",OLM,TV,25,25,Oct-97,Apr-98,"592,903",8.56
100,Kimi no Suizou wo Tabetai,174,"Drama, Romance",Studio VOLN,Movie,1,108,Sep-18,Sep-18,"868,840",8.56
101,Fate/Zero 2nd Season,128,"Action, Fantasy, Supernatural",ufotable,TV,12,24,Apr-12,Jun-12,"1,059,895",8.55
102,Haikyuu!! To the Top Part 2,236,Sports,Production I.G,TV,12,23,Oct-20,Dec-20,"735,480",8.55
103,Zoku Natsume Yuujinchou,916,"Drama, Slice of Life, Supernatural",Brain's Base,TV,13,24,Jan-09,Mar-09,"236,841",8.55
104,Neon Genesis Evangelion: The End of Evangelion,178,"Avant Garde, Drama, Sci-Fi","Gainax, Production I.G",Movie,1,86,Jul-97,Jul-97,"859,494",8.55
105,Mushishi: Hihamukage,1528,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,Special,1,45,Jan-14,Jan-14,"131,609",8.54
106,Slam Dunk,791,Sports,Toei Animation,TV,101,23,Oct-93,Mar-96,"277,078",8.54
107,Bakuman. 3rd Season,673,"Comedy, Drama, Romance",J.C.Staff,TV,25,24,Oct-12,Mar-13,"317,901",8.54
108,Kara no Kyoukai Movie 5: Mujun Rasen,951,"Action, Drama, Mystery, Romance, Supernatural, Suspense",ufotable,Movie,1,114,Aug-08,Aug-08,"228,244",8.53
109,Nana,320,"Drama, Romance",Madhouse,TV,47,23,Apr-06,Mar-07,"604,687",8.53
110,Perfect Blue,296,"Avant Garde, Drama, Horror",Madhouse,Movie,1,81,Feb-98,Feb-98,"632,700",8.53
111,Shingeki no Kyojin,1,"Action, Award Winning, Drama, Suspense",Wit Studio,TV,25,24,Apr-13,Sep-13,"3,673,536",8.53
112,Shoujo☆Kageki Revue Starlight Movie,5046,"Action, Drama, Music, Psychological",Kinema Citrus,Movie,1,120,Jun-21,Jun-21,"14,905",8.53
113,Sora yori mo Tooi Basho,426,"Adventure, Comedy, Drama",Madhouse,TV,13,23,Jan-18,Mar-18,"470,253",8.53
114,Steins;Gate 0,191,"Drama, Sci-Fi, Suspense",White Fox,TV,23,23,Apr-18,Sep-18,"814,845",8.53
115,Yuru Camp△ Season 2,1078,Slice of Life,C-Station,TV,13,23,Jan-21,Apr-21,"200,839",8.53
116,Yakusoku no Neverland,38,"Mystery, Sci-Fi, Suspense",CloverWorks,TV,12,22,Jan-19,Mar-19,"1,828,212",8.52
117,Gintama Movie 1: Shinyaku Benizakura-hen,1363,"Action, Comedy, Sci-Fi",Sunrise,Movie,1,95,Apr-10,Apr-10,"154,620",8.52
118,Gintama.: Porori-hen,1144,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,13,23,Oct-17,Dec-17,"187,533",8.52
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,999,"Action, Mystery, Sci-Fi","Bandai Entertainment, Manga Entertainment",TV,26,25,Jan-04,Jan-05,"218,620",8.52
120,Road of Naruto,4273,"Action, Fantasy",Pierrot,ONA,1,9,Oct-22,Oct-22,"22,408",8.52
121,Summertime Render,519,"Mystery, Supernatural, Suspense",OLM,TV,25,23,Apr-22,Sep-22,"397,755",8.52
122,Samurai Champloo,105,"Action, Adventure, Comedy",Manglobe,TV,26,24,May-04,Mar-05,"1,168,182",8.51
123,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,594,"Action, Fantasy, Supernatural",ufotable,Movie,1,117,Jan-19,Jan-19,"355,414",8.51
124,Hotaru no Haka,303,Drama,Studio Ghibli,Movie,1,88,Apr-88,Apr-88,"624,174",8.51
125,Kimetsu no Yaiba,7,"Action, Award Winning, Fantasy",ufotable,TV,26,23,Apr-19,Sep-19,"2,723,019",8.51
126,Ansatsu Kyoushitsu 2nd Season,86,"Action, Comedy",Lerche,TV,25,23,Jan-16,Jul-16,"1,333,996",8.5
127,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,131,"Action, Adventure, Supernatural",David Production,TV,39,23,Apr-16,Dec-16,"1,030,201",8.5
128,Uchuu Kyoudai,1159,"Comedy, Sci-Fi",A-1 Pictures,TV,99,24,Apr-12,Mar-14,"184,621",8.5
129,One Punch Man,4,"Action, Comedy",Madhouse,TV,12,24,Oct-15,Dec-15,"3,001,104",8.5
130,Shingeki no Kyojin Season 2,12,"Action, Drama, Suspense",Wit Studio,TV,12,24,Apr-17,Jun-17,"2,511,603",8.5
131,Mob Psycho 100,33,"Action, Comedy, Supernatural",Bones,TV,12,24,Jul-16,Sep-16,"1,913,735",8.49
132,Aria the Origination,1627,"Fantasy, Sci-Fi, Slice of Life",Hal Film Maker,TV,13,24,Jan-08,Apr-08,"121,935",8.49
133,Banana Fish,204,"Action, Adventure, Drama, Suspense",MAPPA,TV,24,22,Jul-18,Dec-18,"790,602",8.49
134,Jujutsu Kaisen 0 Movie,281,"Action, Fantasy",MAPPA,Movie,1,104,Dec-21,Dec-21,"654,386",8.49
